ccs,ivec(cell config),weight
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(1, 0, 0, 0, 0)",1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 1, 0, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
"(0,)","(0, 0, 1, 0, 0)",-1
